Fish_0_linear_movement;Fish_0_angle_new_pos;Fish_0_angle_change_orientation;Fish_1_linear_movement;Fish_1_angle_new_pos;Fish_1_angle_change_orientation;Fish_2_linear_movement;Fish_2_angle_new_pos;Fish_2_angle_change_orientation
-3.4198568057161225;3.2034274340613043;6.282840966803924;-4.875715576512574;3.301337704644225;0.013589535524024135;-6.774386495935829;3.2315301920001276;0.036478845427931686
-3.266954529656352;3.4786881551571422;0.060019978929291125;-5.222640112140092;3.462344928044301;0.04708307883475052;-6.965505360486776;3.3166830084683463;0.059103295308108574
-3.6720761377203073;3.587091065227615;0.03787754024093758;-5.5964977708763906;2.964761834102787;6.207721819929625;-6.297663330862188;3.271585943469823;0.046330765346723646
-4.369177115812995;2.964523916417131;6.219029796647399;-7.008014695441193;2.428462543510119;6.069506198784205;-6.475253520254974;3.1603422646959842;0.016090111482554337
-5.424262637625526;2.504798059091188;6.117902056066488;-7.987088711161443;2.731698182277075;6.143118133096343;-5.937666936224799;2.891614375955975;6.231275892533038
-5.7948968090933395;2.734566102329159;6.1724025838610315;-7.308547154438091;3.3135395163347208;0.06503692175000546;-6.661955119259264;2.827679676521742;6.212098119078523
-5.520687038026656;3.2419607605238796;0.0237314088815334;-7.771038925638306;3.5166464482368425;0.10813701514122122;-6.234577108530468;3.0541370461924537;0.0008781407919278208
-5.887973650694479;3.4242761976661424;0.046936437624255034;-8.162310538254236;3.075366062946786;6.2280832042584136;-6.556824162550394;3.401128233784053;0.07269946826762617
-5.989235855169895;3.2609212936437832;6.267288785986647;-8.53964248922948;2.6637908656598115;6.089199929948898;-6.936321174769339;3.3702342766540494;0.041932821436812664
-6.539117579235474;2.697676951236851;6.131296921535171;-9.208092867246233;2.9528439265723887;6.23384539537595;-6.778274618211049;3.1785467506140352;0.005364280637379385
-6.539117579235474;2.849565336881267;6.1310645272521915;-9.208092867246233;3.0021838383760273;6.231526162219006;-6.778274618211049;3.1731824699766547;0.005413901923600117
-7.121888332184595;3.0668464159810465;6.248390432222599;-8.966295706296647;3.214162520671185;0.012835219324949623;-6.293258684584182;3.272597968531977;0.03708178738023503
-8.330635732343625;3.6363118068286426;0.11560279488662298;-7.925978192947208;3.0010183065354044;6.2055637471340725;-6.06894060268274;3.320016484698273;0.036918390597180537
-8.59325972567395;2.8192076104809565;6.075273405349555;-8.600555770065712;2.588497883695367;6.07255938329375;-6.29069029935941;3.6398604850244958;0.13407444790709894
-12.698046781407488;2.4085339501922527;5.8144005605944455;-10.036335479191116;2.5510334515985527;6.0423383540807505;-7.154280332389449;4.035340651223815;0.2317959814394064
-12.032379119275276;3.342954544469107;0.036830929847316625;-9.360861283563743;3.023281653861508;6.2429235218648484;-8.296389462801319;4.091287466427999;0.2679485276038333
-14.159505546088415;3.25260723342662;6.224863564240062;-8.843136458683782;2.9664094965884824;6.173987310277742;-7.219311345813991;4.060391085439301;0.22446201162213214
-14.623469315922337;2.5784578179731907;5.864481254076747;-10.140099525291603;2.361603342572779;5.911684516921208;-5.610591872408051;3.8877357067001372;0.13277316460018543
-15.161226049465167;3.2970840308103546;0.05457077575545504;-12.517644492610437;2.760113148066358;6.1123065875859455;-4.023303942292287;3.758843208635124;0.06857848000636928
-17.62842724382001;3.314947099171458;0.024550779546373358;-11.559047495562735;3.397437147897897;0.10172193100448118;-3.876611462126852;3.83424123835133;0.07417905053883238
-17.617732603030596;2.784391683712812;5.988293199923485;-12.024260439635338;2.8345128589623463;6.062300120727591;-3.1197330017443714;3.790949724028404;0.054191902733648774
-16.431958149711463;3.2377551462395715;0.029133379346289286;-15.793601660627171;2.8020586988414036;6.021620994107649;-2.900483095416103;3.5568357244989746;0.03321586088854188
-18.29957781952394;3.3688231391598196;0.09096264327459556;-16.019147582762958;3.2490436264917744;0.028384065493872443;-2.3827238730848905;3.2401495084005387;6.27776190018432
-17.91701108174984;2.456959479517126;5.7707504237584155;-16.019147582762958;3.2206595609979027;0.029139966178905;-2.7619471435313776;3.2321760977908363;0.001086673265186961
-19.205862074968625;3.1625877736523678;0.046010294989451576;-12.727704776401335;2.6753368434615625;6.144678673950808;-2.5586519848042095;3.238810788987636;0.019473748689657025
-18.144524177512935;2.9856483726798517;6.170278669158404;-13.868760400944833;2.8440037986808147;6.07678171379998;-3.264947940827978;3.289323233154984;0.009557621052873829
-18.05484405562773;2.962024738300919;6.193131758679778;-13.868760400944833;3.050407392060423;6.15039612259614;-3.255848181464457;3.4428006383328893;0.04800551238471768
-17.327328506942933;3.420605811689039;0.1797704696194188;-11.536965419369405;3.3847041442158883;0.09563703999773668;-3.237102119730666;3.571215708397144;0.05513696059809454
-16.772897945219185;2.8762977195525106;6.098357709943715;-12.246638034249758;3.277342016103606;0.061106653468110235;-3.793934724736506;3.6804214275269023;0.08746257370033221
-17.335717527676294;2.8507876265205314;6.08687280142883;-11.180955073400845;3.1043541785819615;6.2501323759231235;-3.1554939909593918;3.612168544755628;0.042056539679780534
